EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,<|B|>__nT,BX_(GSM)_(@_x_component_)_nT,BY_(GSM)_(@_y_component_)_nT,BZ_(GSM)_(@_z_component_)_nT
2008-08-12T20:00:07.000Z,1.376,-0.619,-1.214,-0.125
2008-08-12T20:00:23.000Z,1.481,-0.773,-1.248,-0.054
2008-08-12T20:00:39.000Z,1.06,-0.317,-0.781,-0.092
2008-08-12T20:00:55.000Z,1.244,0.829,0.007,0.913
2008-08-12T20:01:11.000Z,0.932,0.614,0.066,0.634
2008-08-12T20:01:27.000Z,0.78,0.669,0.025,0.358
2008-08-12T20:01:43.000Z,0.818,0.659,0.127,0.418
2008-08-12T20:01:59.000Z,1.621,1.025,0.092,1.245
2008-08-12T20:02:15.000Z,1.739,0.899,-0.124,1.476
2008-08-12T20:02:31.000Z,1.117,0.566,-0.382,0.851
2008-08-12T20:02:47.000Z,1.397,0.633,-0.702,1.008
2008-08-12T20:03:03.000Z,1.391,0.574,-0.609,1.088
2008-08-12T20:03:19.000Z,1.408,0.7,-0.329,1.157
2008-08-12T20:03:35.000Z,1.372,0.692,-0.213,1.157
2008-08-12T20:03:51.000Z,1.09,0.562,-0.219,0.894
2008-08-12T20:04:07.000Z,1.223,0.569,-0.357,1.011
2008-08-12T20:04:23.000Z,1.319,0.705,-0.396,1.029
2008-08-12T20:04:39.000Z,1.171,0.289,-0.713,0.84
2008-08-12T20:04:55.000Z,1.131,0.379,-0.641,0.84
2008-08-12T20:05:11.000Z,1.484,0.293,-0.918,1.108
2008-08-12T20:05:27.000Z,1.361,0.043,-0.968,0.941
2008-08-12T20:05:43.000Z,1.443,0.0,-1.047,0.989
2008-08-12T20:05:59.000Z,1.728,-0.138,-1.221,1.21
2008-08-12T20:06:15.000Z,1.663,-0.39,-1.159,1.064
2008-08-12T20:06:31.000Z,1.925,0.796,-0.481,1.677
2008-08-12T20:06:47.000Z,1.88,0.867,-0.544,1.572
2008-08-12T20:07:03.000Z,2.0,0.648,-0.795,1.705
2008-08-12T20:07:19.000Z,1.87,0.43,-1.028,1.49
2008-08-12T20:07:35.000Z,1.944,0.38,-1.125,1.535
2008-08-12T20:07:51.000Z,1.871,0.137,-1.31,1.307
2008-08-12T20:08:07.000Z,1.917,0.283,-1.039,1.569
2008-08-12T20:08:23.000Z,1.923,0.289,-0.973,1.63
2008-08-12T20:08:39.000Z,1.958,0.016,-0.798,1.784
2008-08-12T20:08:55.000Z,1.977,-0.075,-0.838,1.783
2008-08-12T20:09:11.000Z,1.624,0.078,-1.146,0.945
2008-08-12T20:09:27.000Z,1.576,0.31,-1.522,0.181
2008-08-12T20:09:43.000Z,1.562,0.378,-1.408,-0.535
2008-08-12T20:09:59.000Z,1.404,0.136,-1.258,-0.589
2008-08-12T20:10:15.000Z,1.473,0.38,-1.087,-0.903
2008-08-12T20:10:31.000Z,2.032,0.255,-1.626,-1.187
2008-08-12T20:10:47.000Z,2.046,0.242,-1.438,-1.426
2008-08-12T20:11:03.000Z,2.043,0.269,-1.498,-1.352
2008-08-12T20:11:19.000Z,1.918,0.159,-1.476,-1.189
2008-08-12T20:11:35.000Z,1.499,0.12,-1.297,-0.716
2008-08-12T20:11:51.000Z,1.405,0.064,-1.326,-0.431
2008-08-12T20:12:07.000Z,1.175,0.054,-1.153,-0.158
2008-08-12T20:12:23.000Z,1.294,0.039,-1.226,-0.37
2008-08-12T20:12:39.000Z,1.433,0.041,-1.334,-0.512
2008-08-12T20:12:55.000Z,1.409,-0.084,-1.286,-0.545
2008-08-12T20:13:11.000Z,1.492,-0.043,-1.307,-0.707
2008-08-12T20:13:27.000Z,1.501,-0.283,-1.343,-0.602
2008-08-12T20:13:43.000Z,1.254,-0.257,-1.151,-0.403
2008-08-12T20:13:59.000Z,1.232,-0.144,-1.193,-0.207
2008-08-12T20:14:15.000Z,1.352,-0.137,-1.268,-0.427
2008-08-12T20:14:31.000Z,1.594,-0.076,-1.501,-0.502
2008-08-12T20:14:47.000Z,1.363,-0.067,-1.275,-0.451
2008-08-12T20:15:03.000Z,1.171,-0.086,-1.085,-0.42
2008-08-12T20:15:19.000Z,1.412,-0.292,-1.313,-0.404
2008-08-12T20:15:35.000Z,1.521,-0.361,-1.392,-0.491
2008-08-12T20:15:51.000Z,1.6,-0.136,-1.346,-0.823
2008-08-12T20:16:07.000Z,1.571,0.077,-1.272,-0.902
2008-08-12T20:16:23.000Z,1.775,-0.051,-1.439,-1.027
2008-08-12T20:16:39.000Z,1.344,0.114,-0.969,-0.918
2008-08-12T20:16:55.000Z,1.1,0.048,-0.731,-0.806
2008-08-12T20:17:11.000Z,1.514,-0.031,-0.766,-1.293
2008-08-12T20:17:27.000Z,1.543,0.297,-1.302,-0.194
2008-08-12T20:17:43.000Z,1.809,0.308,-1.675,0.58
2008-08-12T20:17:59.000Z,1.659,0.554,-1.414,0.629
2008-08-12T20:18:15.000Z,1.299,0.626,-0.913,0.395
2008-08-12T20:18:31.000Z,0.976,0.562,-0.682,-0.395
2008-08-12T20:18:47.000Z,1.127,0.665,-0.537,-0.709
2008-08-12T20:19:03.000Z,0.778,0.441,-0.224,-0.532
2008-08-12T20:19:19.000Z,0.91,0.551,-0.082,-0.703
2008-08-12T20:19:35.000Z,0.972,0.453,-0.02,-0.831
2008-08-12T20:19:51.000Z,1.237,0.532,0.318,-1.055
2008-08-12T20:20:07.000Z,1.785,0.662,0.947,-1.299
2008-08-12T20:20:23.000Z,1.215,0.274,-0.271,-1.069
2008-08-12T20:20:39.000Z,1.078,-0.014,-0.987,-0.316
2008-08-12T20:20:55.000Z,1.014,0.154,-0.957,-0.262
2008-08-12T20:21:11.000Z,1.088,0.196,-1.03,-0.206
2008-08-12T20:21:27.000Z,1.135,0.235,-1.063,-0.26
2008-08-12T20:21:43.000Z,1.274,0.262,-0.905,-0.779
2008-08-12T20:21:59.000Z,1.344,0.291,-1.025,-0.764
2008-08-12T20:22:15.000Z,1.354,0.195,-1.205,-0.34
2008-08-12T20:22:31.000Z,1.461,0.052,-1.376,-0.292
2008-08-12T20:22:47.000Z,1.417,0.006,-1.32,-0.361
2008-08-12T20:23:03.000Z,1.601,0.196,-1.53,-0.355
2008-08-12T20:23:19.000Z,1.62,0.429,-0.934,-1.14
2008-08-12T20:23:35.000Z,1.891,0.552,-0.331,-1.77
2008-08-12T20:23:51.000Z,1.966,0.554,-0.418,-1.833
2008-08-12T20:24:07.000Z,1.921,0.537,0.066,-1.834
2008-08-12T20:24:23.000Z,1.938,0.349,-0.081,-1.852
2008-08-12T20:24:39.000Z,2.062,0.516,-0.066,-1.976
2008-08-12T20:24:55.000Z,2.019,0.592,0.829,-1.61
2008-08-12T20:25:11.000Z,2.15,0.894,1.345,-1.41
2008-08-12T20:25:27.000Z,2.225,0.992,1.276,-1.521
2008-08-12T20:25:43.000Z,2.241,1.138,1.347,-1.348
2008-08-12T20:25:59.000Z,2.223,0.997,1.35,-1.451
2008-08-12T20:26:15.000Z,2.18,1.051,1.214,-1.471
2008-08-12T20:26:31.000Z,2.112,1.045,1.168,-1.412
2008-08-12T20:26:47.000Z,2.19,1.069,1.154,-1.519
2008-08-12T20:27:03.000Z,2.208,1.092,1.156,-1.53
2008-08-12T20:27:19.000Z,2.104,1.127,1.048,-1.432
2008-08-12T20:27:35.000Z,2.218,1.152,1.004,-1.604
2008-08-12T20:27:51.000Z,2.249,1.195,0.93,-1.657
2008-08-12T20:28:07.000Z,2.136,0.999,0.877,-1.665
2008-08-12T20:28:23.000Z,2.174,1.048,0.916,-1.667
2008-08-12T20:28:39.000Z,2.247,1.036,0.95,-1.751
2008-08-12T20:28:55.000Z,2.325,1.296,0.698,-1.786
2008-08-12T20:29:11.000Z,2.395,1.5,0.566,-1.768
2008-08-12T20:29:27.000Z,2.376,1.512,0.696,-1.686
2008-08-12T20:29:43.000Z,2.341,1.38,0.588,-1.785
2008-08-12T20:29:59.000Z,2.192,1.202,0.709,-1.68
2008-08-12T20:30:15.000Z,2.195,1.222,0.709,-1.673
2008-08-12T20:30:31.000Z,2.054,1.352,0.28,-1.468
2008-08-12T20:30:47.000Z,2.011,1.223,0.214,-1.518
2008-08-12T20:31:03.000Z,1.926,1.314,-0.631,-1.255
2008-08-12T20:31:19.000Z,1.921,1.323,-0.596,-1.246
2008-08-12T20:31:35.000Z,1.953,1.334,-0.581,-1.266
2008-08-12T20:31:51.000Z,1.895,1.335,-0.805,-1.071
2008-08-12T20:32:07.000Z,1.787,1.24,-0.771,-1.025
2008-08-12T20:32:23.000Z,1.834,1.296,-0.772,-1.039
2008-08-12T20:32:39.000Z,1.755,1.315,-0.811,-0.814
2008-08-12T20:32:55.000Z,1.7,1.247,-0.823,-0.803
2008-08-12T20:33:11.000Z,1.845,1.35,-0.905,-0.869
2008-08-12T20:33:27.000Z,1.614,1.092,-0.991,-0.633
2008-08-12T20:33:42.000Z,1.725,1.211,-1.162,-0.38
2008-08-12T20:33:58.000Z,1.828,1.43,-1.109,-0.147
2008-08-12T20:34:14.000Z,1.883,1.27,-1.285,0.481
2008-08-12T20:34:30.000Z,1.797,1.083,-1.269,0.638
2008-08-12T20:34:46.000Z,1.772,1.189,-1.173,0.554
2008-08-12T20:35:02.000Z,1.755,1.31,-1.016,0.393
2008-08-12T20:35:18.000Z,1.637,1.359,-0.749,-0.492
2008-08-12T20:35:34.000Z,1.628,1.357,-0.764,-0.444
2008-08-12T20:35:50.000Z,1.343,1.153,-0.642,0.092
2008-08-12T20:36:06.000Z,1.327,1.176,-0.361,0.398
2008-08-12T20:36:22.000Z,1.268,1.003,-0.245,0.213
2008-08-12T20:36:38.000Z,1.633,0.634,0.33,-1.355
2008-08-12T20:36:54.000Z,1.757,0.562,0.485,-1.579
2008-08-12T20:37:10.000Z,1.836,0.697,0.524,-1.602
2008-08-12T20:37:26.000Z,1.929,0.882,0.413,-1.66
2008-08-12T20:37:42.000Z,2.061,0.899,0.283,-1.815
2008-08-12T20:37:58.000Z,2.076,0.984,0.23,-1.805
2008-08-12T20:38:14.000Z,2.076,0.927,0.189,-1.841
2008-08-12T20:38:30.000Z,2.061,0.959,0.016,-1.819
2008-08-12T20:38:46.000Z,1.877,0.666,0.798,-1.535
2008-08-12T20:39:02.000Z,1.844,0.556,0.874,-1.424
2008-08-12T20:39:18.000Z,1.913,0.493,0.368,-1.808
2008-08-12T20:39:34.000Z,1.745,0.337,0.543,-1.61
2008-08-12T20:39:50.000Z,1.729,0.192,0.503,-1.63
2008-08-12T20:40:06.000Z,1.813,0.342,0.537,-1.674
2008-08-12T20:40:22.000Z,1.955,0.436,0.502,-1.832
2008-08-12T20:40:38.000Z,1.863,0.256,0.615,-1.737
2008-08-12T20:40:54.000Z,1.825,0.039,0.496,-1.741
2008-08-12T20:41:10.000Z,1.779,0.24,0.354,-1.673
2008-08-12T20:41:26.000Z,1.824,0.212,0.249,-1.773
2008-08-12T20:41:42.000Z,2.057,0.581,0.061,-1.966
2008-08-12T20:41:58.000Z,2.073,0.411,0.103,-2.027
2008-08-12T20:42:14.000Z,2.014,0.361,0.075,-1.977
2008-08-12T20:42:30.000Z,2.083,0.488,0.01,-2.02
2008-08-12T20:42:46.000Z,2.116,0.732,-0.123,-1.98
2008-08-12T20:43:02.000Z,2.126,0.737,-0.227,-1.976
2008-08-12T20:43:18.000Z,2.168,0.871,-0.375,-1.933
2008-08-12T20:43:34.000Z,2.151,0.628,-0.227,-2.029
2008-08-12T20:43:50.000Z,2.036,0.206,-0.09,-2.021
2008-08-12T20:44:06.000Z,2.055,0.146,-0.042,-2.047
2008-08-12T20:44:22.000Z,1.816,-0.007,-0.048,-1.811
2008-08-12T20:44:38.000Z,1.907,-0.102,-0.12,-1.891
2008-08-12T20:44:54.000Z,1.923,-0.001,-0.322,-1.889
2008-08-12T20:45:10.000Z,2.014,0.607,-0.617,-1.8
2008-08-12T20:45:26.000Z,2.051,0.774,-0.76,-1.737
2008-08-12T20:45:42.000Z,1.956,0.852,-0.569,-1.657
2008-08-12T20:45:58.000Z,1.896,0.657,-0.718,-1.623
2008-08-12T20:46:14.000Z,1.846,0.73,-0.659,-1.549
2008-08-12T20:46:30.000Z,1.871,0.739,-0.609,-1.601
2008-08-12T20:46:46.000Z,1.973,0.941,-1.094,-1.207
2008-08-12T20:47:02.000Z,1.837,0.418,-1.054,-1.409
2008-08-12T20:47:18.000Z,1.765,0.639,-1.331,-0.917
2008-08-12T20:47:34.000Z,1.864,0.564,-1.263,-1.229
2008-08-12T20:47:50.000Z,1.8,0.408,-1.221,-1.248
2008-08-12T20:48:06.000Z,1.832,0.53,-1.074,-1.372
2008-08-12T20:48:22.000Z,1.869,0.565,-1.229,-1.283
2008-08-12T20:48:38.000Z,1.809,0.424,-0.946,-1.431
2008-08-12T20:48:54.000Z,1.673,0.049,-0.804,-1.45
2008-08-12T20:49:10.000Z,1.425,0.149,-0.659,-1.215
2008-08-12T20:49:26.000Z,1.54,0.336,-0.468,-1.403
2008-08-12T20:49:42.000Z,1.155,0.379,-0.611,-0.881
2008-08-12T20:49:58.000Z,1.766,0.552,-1.134,-1.222
2008-08-12T20:50:14.000Z,1.655,0.775,-0.886,-1.15
2008-08-12T20:50:30.000Z,1.763,0.87,-1.056,-1.095
2008-08-12T20:50:46.000Z,1.643,0.632,-1.038,-1.062
2008-08-12T20:51:02.000Z,1.566,1.121,-0.736,-0.781
2008-08-12T20:51:18.000Z,1.775,1.245,-0.92,-0.86
2008-08-12T20:51:34.000Z,1.795,1.182,-0.841,-1.051
2008-08-12T20:51:50.000Z,1.796,1.106,-0.9,-1.072
2008-08-12T20:52:06.000Z,1.345,0.175,-1.117,-0.688
2008-08-12T20:52:22.000Z,1.359,0.45,-1.001,-0.768
2008-08-12T20:52:38.000Z,1.48,0.43,-0.813,-1.077
2008-08-12T20:52:54.000Z,1.309,0.076,-0.493,-1.197
2008-08-12T20:53:10.000Z,1.374,-0.031,-0.297,-1.335
2008-08-12T20:53:26.000Z,1.446,0.091,-0.488,-1.346
2008-08-12T20:53:42.000Z,1.657,0.147,-0.676,-1.503
2008-08-12T20:53:58.000Z,1.803,0.224,-0.628,-1.67
2008-08-12T20:54:14.000Z,1.828,0.256,-0.647,-1.688
2008-08-12T20:54:30.000Z,2.023,0.341,-0.601,-1.898
2008-08-12T20:54:46.000Z,1.837,0.295,-0.458,-1.752
2008-08-12T20:55:02.000Z,1.938,0.377,-0.417,-1.85
2008-08-12T20:55:18.000Z,1.878,0.334,-0.388,-1.805
2008-08-12T20:55:34.000Z,1.84,0.391,-0.344,-1.761
2008-08-12T20:55:50.000Z,1.51,0.403,-0.36,-1.396
2008-08-12T20:56:06.000Z,1.627,0.477,-0.347,-1.513
2008-08-12T20:56:22.000Z,1.744,0.428,-0.326,-1.653
2008-08-12T20:56:38.000Z,1.55,0.409,-0.256,-1.467
2008-08-12T20:56:54.000Z,1.403,0.552,0.022,-1.274
2008-08-12T20:57:10.000Z,1.879,0.928,0.49,-1.496
2008-08-12T20:57:26.000Z,2.033,0.829,0.549,-1.765
2008-08-12T20:57:42.000Z,2.017,0.738,0.405,-1.823
2008-08-12T20:57:58.000Z,2.067,0.606,0.214,-1.963
2008-08-12T20:58:14.000Z,2.15,0.641,0.148,-2.041
2008-08-12T20:58:30.000Z,1.987,0.577,0.117,-1.892
2008-08-12T20:58:46.000Z,2.049,0.49,0.189,-1.978
2008-08-12T20:59:02.000Z,2.065,0.422,0.142,-2.013
2008-08-12T20:59:18.000Z,2.046,0.387,0.084,-2.006
2008-08-12T20:59:34.000Z,2.075,0.472,-0.035,-2.016
2008-08-12T20:59:50.000Z,2.218,0.626,0.076,-2.124
2008-08-12T21:00:06.000Z,1.887,0.564,0.135,-1.787
