EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,H_DENSITY_#/cc,SW_H_SPEED_km/s,H_TEMP_RADIAL_Kelvin,VX_(GSM)_km/s,VY_(GSM)_km/s,VZ_(GSM)_km/s
2008-08-12T20:00:25.000Z,1.90940,552.340,135100.,-550.772,-6.35000,-38.7940
2008-08-12T20:01:29.000Z,2.25960,548.140,138372.,-545.694,-2.12300,-49.4020
2008-08-12T20:02:33.000Z,2.09940,548.260,127357.,-545.842,-3.24000,-49.0210
2008-08-12T20:03:37.000Z,2.17530,547.340,127261.,-545.665,-0.488000,-40.5890
2008-08-12T20:04:41.000Z,2.05130,547.970,123535.,-546.012,1.38700,-44.0050
2008-08-12T20:05:45.000Z,2.01870,548.230,124526.,-547.246,2.94700,-30.4480
2008-08-12T20:06:49.000Z,1.94130,548.800,122508.,-547.009,1.20100,-42.0680
2008-08-12T20:07:53.000Z,2.03040,548.480,112826.,-547.510,2.24400,-30.2690
2008-08-12T20:08:57.000Z,1.96010,547.950,114392.,-545.508,-4.57000,-49.3080
2008-08-12T20:10:01.000Z,1.99010,549.830,129285.,-547.949,-6.07700,-42.8640
2008-08-12T20:11:05.000Z,1.96890,551.450,103239.,-549.544,-8.92000,-42.7260
2008-08-12T20:12:09.000Z,2.03500,552.750,123762.,-550.670,-4.47300,-45.5680
2008-08-12T20:13:13.000Z,1.87680,550.920,124605.,-549.722,-2.72300,-34.1460
2008-08-12T20:14:17.000Z,1.98830,553.530,117676.,-551.474,-5.91500,-45.1260
2008-08-12T20:15:21.000Z,1.91240,550.730,134975.,-549.256,-0.800000,-38.1810
2008-08-12T20:16:25.000Z,1.75240,549.420,127915.,-547.084,-8.00800,-47.8080
2008-08-12T20:17:29.000Z,1.76450,551.340,117951.,-549.072,-7.67600,-47.3250
2008-08-12T20:18:33.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2008-08-12T20:19:37.000Z,1.91920,554.130,133395.,-551.960,-9.95600,-45.8460
2008-08-12T20:20:41.000Z,1.95040,553.010,125850.,-551.667,-5.94300,-35.9820
2008-08-12T20:21:45.000Z,1.90900,553.570,132475.,-551.525,-7.52500,-44.9260
2008-08-12T20:22:49.000Z,2.02860,551.310,117793.,-549.411,-2.77800,-43.5750
2008-08-12T20:23:53.000Z,1.72210,553.740,112173.,-550.520,-11.0290,-56.5540
2008-08-12T20:24:57.000Z,1.79960,556.220,106875.,-553.322,-7.51200,-54.2630
2008-08-12T20:26:01.000Z,2.15000,551.630,109233.,-548.926,11.5260,-51.3960
2008-08-12T20:27:05.000Z,1.81390,552.530,114110.,-549.754,5.35100,-53.1420
2008-08-12T20:28:09.000Z,1.83780,551.270,110040.,-549.269,10.5810,-43.7980
2008-08-12T20:29:13.000Z,1.74160,547.440,118755.,-544.917,3.87900,-50.4110
2008-08-12T20:30:17.000Z,1.69890,550.410,115804.,-548.285,14.8720,-44.0870
2008-08-12T20:31:21.000Z,1.82970,551.540,117367.,-549.335,-7.72000,-46.7550
2008-08-12T20:32:25.000Z,1.81620,550.720,117826.,-548.884,-5.72700,-42.6570
2008-08-12T20:33:29.000Z,2.02870,551.320,119049.,-549.062,-8.76100,-47.1850
2008-08-12T20:34:33.000Z,1.91690,551.370,113709.,-549.666,-5.72900,-41.0620
2008-08-12T20:35:37.000Z,1.93710,550.260,129988.,-549.162,-4.52500,-32.5350
2008-08-12T20:36:41.000Z,2.09390,552.450,137774.,-550.397,1.90800,-45.7730
2008-08-12T20:37:45.000Z,1.81360,548.800,114932.,-547.313,2.20200,-38.5110
2008-08-12T20:38:49.000Z,1.88280,554.680,108816.,-552.320,1.16200,-49.3320
2008-08-12T20:39:53.000Z,1.90300,555.800,112639.,-553.621,1.35900,-47.3780
2008-08-12T20:40:57.000Z,1.96330,559.390,123565.,-556.316,-2.37400,-56.7860
2008-08-12T20:42:01.000Z,1.69340,556.340,106779.,-552.743,-6.26600,-61.0870
2008-08-12T20:43:05.000Z,1.87230,553.890,109543.,-551.562,-1.72800,-49.0120
2008-08-12T20:44:09.000Z,1.79510,556.980,109142.,-554.165,-3.73100,-54.0810
2008-08-12T20:45:13.000Z,1.74010,558.430,110925.,-556.375,-1.70100,-46.0920
2008-08-12T20:46:17.000Z,1.86060,557.640,103906.,-555.066,-8.45300,-51.1760
2008-08-12T20:47:21.000Z,1.75470,559.380,105554.,-557.838,-6.18900,-39.3140
2008-08-12T20:48:25.000Z,1.96550,555.590,108520.,-552.804,-12.2680,-52.5200
2008-08-12T20:49:29.000Z,1.74810,561.190,119318.,-558.069,-4.86500,-57.2800
2008-08-12T20:50:33.000Z,2.02940,555.560,107169.,-553.463,-8.21900,-45.8470
2008-08-12T20:51:37.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2008-08-12T20:52:41.000Z,1.77610,554.210,115270.,-553.135,-2.90400,-32.6990
2008-08-12T20:53:45.000Z,1.86090,555.490,116301.,-552.897,-5.83400,-51.6910
2008-08-12T20:54:49.000Z,1.75310,555.170,107389.,-553.261,-4.02500,-44.2790
2008-08-12T20:55:53.000Z,1.90390,554.680,119594.,-551.417,-7.67200,-58.0140
2008-08-12T20:56:57.000Z,1.89320,551.330,136992.,-548.144,0.706000,-57.6740
2008-08-12T20:58:01.000Z,2.17460,553.300,104696.,-550.225,-2.66800,-56.6950
2008-08-12T20:59:05.000Z,1.75290,554.810,107582.,-551.550,-4.69000,-58.3790
2008-08-12T21:00:09.000Z,1.76630,554.950,101014.,-553.076,2.02000,-44.0880
2008-08-12T21:01:13.000Z,1.69990,552.740,112210.,-550.655,0.0100000,-46.5310
2008-08-12T21:02:17.000Z,1.99900,551.690,103689.,-550.677,-4.08500,-31.7670
2008-08-12T21:03:21.000Z,1.95130,552.160,116263.,-549.773,-8.50700,-49.1580
2008-08-12T21:04:25.000Z,1.98320,552.150,119510.,-549.760,-8.78300,-49.0790
2008-08-12T21:05:29.000Z,2.14000,551.180,111117.,-548.450,-8.92500,-52.6700
2008-08-12T21:06:33.000Z,1.91940,555.280,112621.,-551.883,-7.79100,-59.4290
2008-08-12T21:07:37.000Z,1.78330,555.010,108757.,-552.398,-8.41700,-51.7790
2008-08-12T21:08:41.000Z,1.97960,554.330,122179.,-550.812,-10.9830,-59.9870
