UT__yyyy-mm-ddThh:mm:ss.sssZ,FGS-D_B_TOTAL__nT_(All_Qs),BX_FGS-D_(@_1_)_nT_GSM,BY_FGS-D_(@_2_)_nT_GSM,BZ_FGS-D_(@_3_)_nT_GSM
2008-08-12T20:43:32.869Z,46.7975,12.4366,2.74125,45.0313
2008-08-12T20:43:35.879Z,46.8110,12.3132,2.56960,45.0894
2008-08-12T20:43:38.889Z,46.7837,12.3344,2.34942,45.0673
2008-08-12T20:43:41.900Z,46.8011,12.4179,2.39557,45.0600
2008-08-12T20:43:44.910Z,46.7682,12.3538,2.13023,45.0568
2008-08-12T20:43:47.920Z,46.7548,12.3387,1.78257,45.0620
2008-08-12T20:43:50.931Z,46.8188,12.5181,1.66595,45.0835
2008-08-12T20:43:53.941Z,46.8068,12.5545,1.79254,45.0561
2008-08-12T20:43:56.951Z,46.8686,12.7863,1.58981,45.0627
2008-08-12T20:43:59.961Z,46.8420,12.9114,1.75779,44.9931
2008-08-12T20:44:02.972Z,46.7415,13.0141,1.78316,44.8578
2008-08-12T20:44:05.982Z,46.5111,12.6887,1.78120,44.7114
2008-08-12T20:44:08.992Z,46.2158,12.6331,1.89963,44.4151
2008-08-12T20:44:12.003Z,46.0650,12.4677,1.99936,44.3006
2008-08-12T20:44:15.013Z,45.9319,12.5410,1.88969,44.1462
2008-08-12T20:44:18.023Z,45.8567,12.3980,2.13204,44.0975
2008-08-12T20:44:21.033Z,45.8074,12.2505,1.81968,44.1014
2008-08-12T20:44:24.044Z,45.7007,11.8712,1.70915,44.0988
2008-08-12T20:44:27.054Z,45.6689,12.0487,1.79105,44.0145
2008-08-12T20:44:30.064Z,45.6344,11.9163,1.82546,44.0133
2008-08-12T20:44:33.074Z,45.6850,12.1152,1.49148,44.0240
2008-08-12T20:44:36.085Z,45.7057,11.9572,1.19045,44.0978
2008-08-12T20:44:39.095Z,45.6465,12.0706,1.00791,44.0100
2008-08-12T20:44:42.105Z,45.5743,12.0483,0.864442,43.9444
2008-08-12T20:44:45.116Z,45.5116,12.0064,0.938366,43.8893
2008-08-12T20:44:48.126Z,45.4734,11.8910,1.31767,43.8714
2008-08-12T20:44:51.136Z,45.5278,12.0545,1.41468,43.8802
2008-08-12T20:44:54.146Z,45.5668,11.7723,1.50324,43.9942
2008-08-12T20:44:57.157Z,45.5613,11.8593,1.54566,43.9636
2008-08-12T20:45:00.167Z,45.5528,11.8433,1.75841,43.9511
2008-08-12T20:45:03.177Z,45.5835,12.0280,1.63616,43.9375
2008-08-12T20:45:06.188Z,45.5763,11.9774,1.71951,43.9407
2008-08-12T20:45:09.198Z,45.6684,12.0317,1.43401,44.0316
2008-08-12T20:45:12.208Z,45.6367,11.6925,1.25058,44.0957
2008-08-12T20:45:15.218Z,45.6620,11.6721,0.908586,44.1356
2008-08-12T20:45:18.229Z,45.6243,11.5744,1.07240,44.1187
2008-08-12T20:45:21.239Z,45.5907,11.7696,0.938839,44.0353
2008-08-12T20:45:24.249Z,45.5609,11.7225,1.01842,44.0152
2008-08-12T20:45:27.260Z,45.4778,11.7019,0.873095,43.9378
2008-08-12T20:45:30.270Z,45.4826,11.4773,0.869875,44.0021
2008-08-12T20:45:33.280Z,45.4326,11.5713,0.904766,43.9250
2008-08-12T20:45:36.290Z,45.4121,11.6769,1.29021,43.8662
2008-08-12T20:45:39.301Z,45.3305,11.7762,1.31945,43.7542
2008-08-12T20:45:42.311Z,45.3471,11.6875,1.27719,43.7964
2008-08-12T20:45:45.321Z,45.3699,11.6662,1.49559,43.8189
2008-08-12T20:45:48.332Z,45.4373,11.6380,1.72153,43.8878
2008-08-12T20:45:51.342Z,45.4821,11.7686,1.68727,43.9007
2008-08-12T20:45:54.352Z,45.5296,11.7093,1.78005,43.9621
2008-08-12T20:45:57.362Z,45.5636,11.8416,1.74390,43.9634
2008-08-12T20:46:00.373Z,45.6089,11.6277,1.53270,44.0751
2008-08-12T20:46:03.383Z,45.4868,11.5271,1.33658,43.9817
2008-08-12T20:46:06.393Z,45.4846,11.1321,1.24300,44.0838
2008-08-12T20:46:09.404Z,45.4918,11.0628,0.983343,44.1152
2008-08-12T20:46:12.414Z,45.5156,10.9643,1.04976,44.1628
2008-08-12T20:46:15.424Z,45.5710,10.9483,0.604711,44.2321
2008-08-12T20:46:18.434Z,45.5559,10.6420,0.552534,44.2920
2008-08-12T20:46:21.445Z,45.6800,10.9308,0.621781,44.3486
2008-08-12T20:46:24.455Z,45.7871,10.8779,1.07071,44.4633
2008-08-12T20:46:27.465Z,45.9349,11.1632,1.14371,44.5431
2008-08-12T20:46:30.476Z,45.9304,11.0176,1.29057,44.5707
2008-08-12T20:46:33.486Z,46.1600,11.1780,1.65573,44.7555
2008-08-12T20:46:36.496Z,46.2150,11.4614,1.92732,44.7297
2008-08-12T20:46:39.506Z,46.3278,11.7706,2.33769,44.7466
2008-08-12T20:46:42.517Z,46.3156,12.1008,2.72553,44.6237
2008-08-12T20:46:45.527Z,46.2956,12.1390,2.85031,44.5848
2008-08-12T20:46:48.537Z,46.3233,12.3423,3.07109,44.5431
2008-08-12T20:46:51.548Z,46.3387,12.4941,2.81756,44.5335
2008-08-12T20:46:54.558Z,46.3113,12.5687,3.06988,44.4673
2008-08-12T20:46:57.568Z,46.4196,12.7571,2.74715,44.5476
2008-08-12T20:47:00.578Z,46.3490,12.7170,2.81925,44.4810
2008-08-12T20:47:03.589Z,46.3968,12.5696,2.31017,44.6019
2008-08-12T20:47:06.599Z,46.4694,12.3852,2.23394,44.7328
2008-08-12T20:47:09.609Z,46.5758,12.5229,1.99542,44.8163
2008-08-12T20:47:12.620Z,46.5758,12.5229,1.99456,44.8163
2008-08-12T20:47:15.630Z,46.5242,12.2725,1.85251,44.8381
