UT__yyyy-mm-ddThh:mm:ss.sssZ,N_ION_MOM_ESA-C__cm^-3_(All_Qs),VX_ION_GSM_MOM_ESA-C_(@_1_)_km/s_(All_Qs),VY_ION_GSM_MOM_ESA-C_(@_2_)_km/s_(All_Qs),VZ_ION_GSM_MOM_ESA-C_(@_3_)_km/s_(All_Qs),TX_ION_FA_MOM_ESA-C_(@_1_)_eV_(All_Qs),TY_ION_FA_MOM_ESA-C_(@_2_)_eV_(All_Qs),TZ_ION_FA_MOM_ESA-C_(@_3_)_eV_(All_Qs)
2008-08-12T20:43:31.673Z,0.2476728,2.1546768,33.320435,-3.574368,2154.1767,2155.8505,1607.9849
2008-08-12T20:43:34.683Z,0.2476728,9.1013489,10.65232,-5.016477099999999,2257.8619,2248.2199,1665.0148
2008-08-12T20:43:37.694Z,0.2476728,23.045421,28.128825,-4.2910535,2335.4227,2221.281,1651.771
2008-08-12T20:43:40.704Z,0.2476728,19.932192,20.628166,-5.060236,2252.1864,2338.7164,1623.4604
2008-08-12T20:43:43.714Z,0.24767277,8.0096703,38.338892,-2.0341751,2289.4741,2295.0397,1629.9721
2008-08-12T20:43:46.724Z,0.30594871,13.779277,18.050872,-15.151921,1820.2976,1857.2343,1229.8539
2008-08-12T20:43:49.735Z,0.2185348,11.479851,21.277536,-17.225002,2584.5323,2535.8213,1828.4943
2008-08-12T20:43:52.745Z,0.24767277,16.457007,11.375926,-14.800777,2220.1861,2200.128,1642.8329
2008-08-12T20:43:55.755Z,0.27681074,11.274359,7.268337700000001,-12.451958,1899.0322,1736.7244,1369.7819
2008-08-12T20:43:58.766Z,0.2185348,13.841534,2.2017094,-5.493613099999999,2522.5376,2624.8921,1763.5532
2008-08-12T20:44:01.776Z,0.2185348,-4.0593017,-3.0626986,-14.324678,2409.1557,2421.667,1858.776
2008-08-12T20:44:04.786Z,0.2185348,2.0650303,-2.3826778,-7.3834178,2471.7976,2348.6609,1773.0272
2008-08-12T20:44:07.796Z,0.24767277,-5.17053,-33.258545,-1.972735,2181.124,2346.4736,1626.8449
