#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         THEMIS
#     SOURCE_NAME                     THC>Themis Probe C
#     DISCIPLINE                      Space Physics>Magnetospheric Science
#     DATA_TYPE                       MOM
#     DESCRIPTOR                      L2>L2 DATA
#     DATA_VERSION                    1
#     PI_NAME                         V. Angelopoulos, C.W. Carlson & J. McFadden
#     PI_AFFILIATION                  UCB, NASA NAS5-02099
#     TITLE                           On-Board Moments, ESA and SST
#     TEXT                            THEMIS-C:  On Board moments:  Electron/Ion moments density, flux, velocity,                            
#     TEXT                             pressure and temperature.Moment Data Quality flags (0: good data; non-zero                            
#     TEXT                             flags are totals of values; 1: missing S/C potential, 16: electron density                            
#                                      Gt 2*ion density, 32: ion density Gt 2*electron density, 64: Spacecraft Maneuver).                    
#     INSTRUMENT_TYPE                 Particles (space)
#                                     Plasma and Solar Wind
#     MISSION_GROUP                   THEMIS
#                                     ARTEMIS
#     LOGICAL_SOURCE                  thc_l2_mom
#     LOGICAL_FILE_ID                 thc_l2_mom_00000000_v01
#     LOGICAL_SOURCE_DESCRIPTION      THEMIS-C (P2/ARTEMIS-P2):  On Board moments:  Electron/Ion moments density,                            
#                                      flux, velocity, pressure and temperature.                                                             
#     RULES_OF_USE                    Open Data for Scientific Use
#     GENERATED_BY                    THEMIS SOC
#     GENERATION_DATE                 Fri May 29 11:49:04 2009
#     ACKNOWLEDGEMENT                 NASA Contract NAS5-02099
#     ADID_REF                        NSSD0110
#     LINK_TEXT                       MOM
#                                     ESA
#                                     MOM
#     LINK_TITLE                      Data Quality Flags
#                                     Instrument description including data modes, products and caveats
#                                     Processing history and the THEMIS mission website including TDAS s/w
#     HTTP_LINK                       http://themis.ssl.berkeley.edu/mom_flag.shtml
#                                     http://themis.ssl.berkeley.edu/instrument_esa.shtml
#                                     http://themis.ssl.berkeley.edu/mom_proc_history.shtml
#     FILE_NAMING_CONVENTION          source_descriptor_datatype
#     CAVEATS                         See THEMIS website for caveats
#     VALIDATE                        Compatible with the ISTP CDF Standards
#     INST_MOD                        THM>xxxx
#     INST_SETTINGS                   Not used
#     SOFTWARE_VERSION                23185
#     SPASE_DATASETRESOURCEID         spase://VSPO/NumericalData/THEMIS/C/MOM/PT3S
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. thc_peim_epoch
#  2. (All qualities data) ESA On Board Moment (MOM) Ion Density, THEMIS-C
#  3. -----Ion Velocity Vector in GSM
#  4. -----Ion Temperature, Field Aligned (TprpFA1, TprpFA2, TparFA)
#       NOTES:  3d temperatures around magnetic axis (Z) and normal axes (X,Y), where Y is Z direction crosed into Sun direction, and X completes orthogonal system.
#
UT__yyyy-mm-ddThh:mm:ss.sssZ,N_ION_MOM_ESA-C__cm^-3_(All_Qs),VX_ION_GSM_MOM_ESA-C_(@_1_)_km/s_(All_Qs),VY_ION_GSM_MOM_ESA-C_(@_2_)_km/s_(All_Qs),VZ_ION_GSM_MOM_ESA-C_(@_3_)_km/s_(All_Qs),TX_ION_FA_MOM_ESA-C_(@_1_)_eV_(All_Qs),TY_ION_FA_MOM_ESA-C_(@_2_)_eV_(All_Qs),TZ_ION_FA_MOM_ESA-C_(@_3_)_eV_(All_Qs)
2008-08-12T20:00:01.756Z,0.27681157,-2.8813377,-16.564400,10.104112,2155.4144,2365.9114,1954.6636
2008-08-12T20:00:04.766Z,0.36422570,12.104740,-4.7217423,4.5822190,1793.3386,1858.7602,1477.5754
2008-08-12T20:00:07.776Z,0.33508765,0.59670615,2.3990665,4.5780940,1783.0305,1923.3409,1567.9480
2008-08-12T20:00:10.787Z,0.30594959,0.61661564,1.0438771,5.2375022,1969.4277,2093.7293,1624.1320
2008-08-12T20:00:13.797Z,0.33508765,-0.92794475,1.2282321,-0.33723033,2007.5332,1865.0501,1539.4458
2008-08-12T20:00:16.807Z,0.33508765,-14.600992,-3.8060487,-0.11357464,1917.4313,1895.8576,1546.8587
2008-08-12T20:00:19.818Z,0.33508765,0.85930640,5.9778599,-1.7732832,1845.0846,2041.2759,1562.5309
2008-08-12T20:00:22.828Z,0.30594955,24.561824,-12.334943,1.1559332,2115.4344,2187.9898,1757.8457
2008-08-12T20:00:25.838Z,0.30594955,3.7882717,4.1353879,-8.7254770,2021.1447,2050.1502,1740.8487
2008-08-12T20:00:28.848Z,0.33508761,11.154648,4.1306359,8.4733437,1871.8103,1820.6823,1434.0990
2008-08-12T20:00:31.859Z,0.33508761,10.794238,7.0688617,0.17565685,1856.4456,1942.0748,1587.4547
2008-08-12T20:00:34.869Z,0.30594955,15.956863,7.5705035,-11.358129,2045.3083,2043.5944,1608.8797
2008-08-12T20:00:37.879Z,0.27681150,8.2568891,-19.969159,3.0422811,2119.5879,2207.6662,1771.3693
2008-08-12T20:00:40.890Z,0.30594955,8.3255751,2.9965540,4.8806838,2059.8060,2083.8490,1727.3150
2008-08-12T20:00:43.900Z,0.33508757,-1.4825485,-10.501790,-9.4576120,2010.7260,2094.9967,1615.0631
2008-08-12T20:00:46.910Z,0.33508757,2.5623954,-1.2994804,-3.4123918,1805.1034,1938.2937,1502.4606
2008-08-12T20:00:49.920Z,0.33508757,10.655460,-2.9342544,4.7868955,1923.4895,1969.6437,1567.0925
2008-08-12T20:00:52.931Z,0.30594952,16.416516,0.37623597,3.6192292,2069.3877,2071.1984,1742.1949
2008-08-12T20:00:55.941Z,0.33508757,9.4256616,-0.12147141,2.8180779,1872.1253,1936.7534,1532.8948
2008-08-12T20:00:58.951Z,0.33508757,6.6471765,-3.2634529,0.69449387,1979.5837,1983.9391,1506.1078
2008-08-12T20:01:01.962Z,0.30594948,2.9802807,0.55009784,7.2593341,2093.4813,2027.4495,1573.5509
2008-08-12T20:01:04.972Z,0.30594948,1.3748878,1.6282980,1.8204766,2047.8079,2302.8068,1635.8825
2008-08-12T20:01:07.982Z,0.27681143,12.791781,-9.7061488,-3.3389542,2260.1594,2488.7210,1871.9983
2008-08-12T20:01:10.992Z,0.33508753,4.3641568,-10.873834,-0.10758384,1961.8488,1841.4427,1538.4746
2008-08-12T20:01:14.003Z,0.30594948,-2.6399376,-1.3575060,8.5648449,2154.1245,2038.2137,1780.7891
2008-08-12T20:01:17.013Z,0.30594948,-4.5636435,-4.2962788,-5.7415189,2058.0889,2185.7807,1668.4327
2008-08-12T20:01:20.023Z,0.39336357,-7.2991163,0.19677481,4.5407583,1652.9472,1711.7536,1334.2496
2008-08-12T20:01:23.034Z,0.30594944,6.6389245,3.9807954,12.531857,2065.6978,2140.6398,1793.1615
2008-08-12T20:01:26.044Z,0.24767336,-2.5528880,-0.71417647,9.4292781,2649.5805,2557.1165,2153.0000
2008-08-12T20:01:29.054Z,0.30594944,0.78197712,-9.6511888,7.2211335,2014.8517,2241.1233,1747.0477
2008-08-12T20:01:32.064Z,0.33508749,-5.4925374,11.130911,-9.8242563,2108.9608,2117.2392,1610.9457
2008-08-12T20:01:35.075Z,0.36422553,-1.4565297,7.4791167,-7.9619829,1832.7919,1836.3707,1441.1313
2008-08-12T20:01:38.085Z,0.39336357,-8.6012907,31.646680,2.2015413,1730.4578,1710.9175,1394.9341
2008-08-12T20:01:41.095Z,0.33508745,-16.652996,11.840502,6.7746430,1888.9878,2039.9163,1567.0089
2008-08-12T20:01:44.106Z,0.30594941,-20.155528,3.6029627,9.4388928,2221.8115,2202.0471,1763.6942
2008-08-12T20:01:47.116Z,0.33508745,-6.5696128,9.2107683,1.1710604,1973.2268,1890.5725,1581.3333
2008-08-12T20:01:50.126Z,0.33508745,-0.93809656,10.226550,7.4633438,2079.9302,1954.5334,1541.9237
2008-08-12T20:01:53.136Z,0.33508745,-10.648533,10.991511,-5.6752625,1932.8909,2003.8785,1537.9074
2008-08-12T20:01:56.147Z,0.30594941,-0.80161819,-6.2038361,-4.1953577,2116.1881,2085.7780,1711.9428
2008-08-12T20:01:59.157Z,0.33508741,4.5467089,12.490494,-0.10342605,1873.0114,1941.6901,1581.6324
2008-08-12T20:02:02.167Z,0.30594937,-3.4081182,13.391767,6.5392697,2090.1883,2127.4385,1676.3214
2008-08-12T20:02:05.178Z,0.33508741,-1.3713146,14.024222,-2.9271858,1918.4667,2021.1170,1598.0211
2008-08-12T20:02:08.188Z,0.33508741,-12.379138,5.8675485,-0.42652276,1837.4915,1757.7372,1484.6093
2008-08-12T20:02:11.198Z,0.30594937,2.8857380,9.3089010,-5.1197126,2164.9893,2130.5353,1596.4231
